Unnamed: 0,carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
1.0,0.23,ideal,e,si2,31282.0,5.01,61.5,55.0,326.0,3.95,3.98,2.43
2.0,0.21,premium,e,si1,40049.0,1.69,59.8,61.0,326.0,3.89,3.84,2.31
3.0,0.23,good,e,vs1,33517.0,3.85,61.75,57.46,327.0,4.05,4.07,2.31
4.0,0.29,premium,i,vs2,38495.0,3.49,62.4,58.0,334.0,4.2,4.23,2.63
5.0,0.31,good,j,si2,34178.0,4.7,63.3,58.0,335.0,4.34,4.35,2.75
6.0,0.24,very good,j,vvs2,44700.0,0.86,62.8,57.0,336.0,3.94,3.96,2.48
7.0,0.24,very good,i,vvs1,42939.0,1.68,62.3,57.0,336.0,3.95,3.98,2.47
8.0,0.8,ideal,h,si1,37587.0,4.62,61.75,57.46,3933.02,4.07,4.11,2.53
9.0,0.22,fair,e,vs2,30454.0,4.02,61.75,61.0,337.0,3.87,3.78,2.49
10.0,0.23,very good,h,vs1,45506.0,1.2,59.4,61.0,338.0,4.0,4.05,2.39
11.0,0.3,good,j,si1,38031.0,2.63,64.0,55.0,339.0,4.25,4.28,2.73
12.0,0.23,ideal,j,vs1,44410.0,2.39,62.8,56.0,340.0,3.93,3.9,2.46
13.0,0.22,premium,f,si1,43752.0,3.95,60.4,61.0,342.0,3.88,3.84,2.33
14.0,0.31,ideal,j,si2,32689.0,3.78,62.2,54.0,344.0,4.35,4.37,2.71
15.0,0.2,premium,e,si2,43985.0,5.11,60.2,62.0,345.0,3.79,3.75,2.27
16.0,0.32,premium,e,i1,30331.0,3.58,60.9,58.0,345.0,4.38,4.42,2.68
17.0,0.3,ideal,i,si2,38324.0,2.03,62.0,54.0,348.0,4.31,4.34,2.68
18.0,0.3,good,j,si1,47341.0,2.48,63.4,54.0,351.0,4.23,4.29,2.7
19.0,0.3,good,j,si1,47582.0,1.05,63.8,56.0,351.0,4.23,4.26,2.71
20.0,0.3,very good,j,si1,37375.0,4.96,62.7,59.0,351.0,4.21,4.27,2.66
21.0,0.3,good,i,si2,37510.0,2.86,63.3,56.0,351.0,4.26,4.3,2.71
22.0,0.23,very good,e,vs2,36157.0,1.27,63.8,55.0,352.0,3.85,3.92,2.48
23.0,0.23,very good,h,vs1,47155.0,4.92,61.0,57.0,353.0,3.94,3.96,2.41
24.0,0.31,very good,j,si1,32821.0,4.29,59.4,62.0,353.0,4.39,4.43,2.62
25.0,0.31,very good,j,si1,39073.0,4.1,61.75,62.0,353.0,4.44,4.47,2.59
26.0,0.23,very good,g,vvs2,46265.0,1.88,60.4,58.0,354.0,3.97,4.01,2.41
27.0,0.24,premium,i,vs1,34355.0,2.29,62.5,57.0,355.0,3.97,3.94,2.47
28.0,0.3,very good,j,vs2,35475.0,2.65,62.2,57.0,357.0,4.28,4.3,2.67
29.0,0.23,very good,d,vs2,48418.0,3.9,60.5,61.0,357.0,3.96,3.97,2.4
30.0,0.23,very good,f,vs1,36279.0,4.46,60.9,57.0,357.0,3.96,3.99,2.42
31.0,0.23,very good,f,vs1,46901.0,5.17,60.0,57.0,402.0,4.0,4.03,2.41
32.0,0.23,very good,f,vs1,43609.0,0.66,59.8,57.0,402.0,4.04,4.06,2.42
33.0,0.23,very good,e,vs1,42739.0,0.74,60.7,59.0,402.0,3.97,4.01,2.42
34.0,0.23,very good,e,vs1,35942.0,1.75,59.5,58.0,402.0,4.01,4.06,2.4
