Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,cut_numeric,clarity_numeric
1.0,0.23,ideal,e,si2,61.5,55.0,326.0,3.95,3.98,2,3
2.0,0.21,premium,e,si1,59.8,61.0,326.0,3.89,3.84,3,2
3.0,0.23,good,e,vs1,61.75,57.46,327.0,4.05,4.07,1,4
4.0,0.29,premium,i,vs2,62.4,58.0,334.0,4.2,4.23,3,5
5.0,0.31,good,j,si2,63.3,58.0,335.0,4.34,4.35,1,3
6.0,0.24,very good,j,vvs2,62.8,57.0,336.0,3.94,3.96,4,7
7.0,0.24,very good,i,vvs1,62.3,57.0,336.0,3.95,3.98,4,6
8.0,0.8,ideal,h,si1,61.75,57.46,3933.02,4.07,4.11,2,2
9.0,0.22,fair,e,vs2,61.75,61.0,337.0,3.87,3.78,0,5
10.0,0.23,very good,h,vs1,59.4,61.0,338.0,4.0,4.05,4,4
11.0,0.3,good,j,si1,64.0,55.0,339.0,4.25,4.28,1,2
12.0,0.23,ideal,j,vs1,62.8,56.0,340.0,3.93,3.9,2,4
13.0,0.22,premium,f,si1,60.4,61.0,342.0,3.88,3.84,3,2
14.0,0.31,ideal,j,si2,62.2,54.0,344.0,4.35,4.37,2,3
15.0,0.2,premium,e,si2,60.2,62.0,345.0,3.79,3.75,3,3
16.0,0.32,premium,e,i1,60.9,58.0,345.0,4.38,4.42,3,0
17.0,0.3,ideal,i,si2,62.0,54.0,348.0,4.31,4.34,2,3
18.0,0.3,good,j,si1,63.4,54.0,351.0,4.23,4.29,1,2
19.0,0.3,good,j,si1,63.8,56.0,351.0,4.23,4.26,1,2
20.0,0.3,very good,j,si1,62.7,59.0,351.0,4.21,4.27,4,2
21.0,0.3,good,i,si2,63.3,56.0,351.0,4.26,4.3,1,3
22.0,0.23,very good,e,vs2,63.8,55.0,352.0,3.85,3.92,4,5
23.0,0.23,very good,h,vs1,61.0,57.0,353.0,3.94,3.96,4,4
24.0,0.31,very good,j,si1,59.4,62.0,353.0,4.39,4.43,4,2
25.0,0.31,very good,j,si1,61.75,62.0,353.0,4.44,4.47,4,2
26.0,0.23,very good,g,vvs2,60.4,58.0,354.0,3.97,4.01,4,7
27.0,0.24,premium,i,vs1,62.5,57.0,355.0,3.97,3.94,3,4
28.0,0.3,very good,j,vs2,62.2,57.0,357.0,4.28,4.3,4,5
29.0,0.23,very good,d,vs2,60.5,61.0,357.0,3.96,3.97,4,5
30.0,0.23,very good,f,vs1,60.9,57.0,357.0,3.96,3.99,4,4
31.0,0.23,very good,f,vs1,60.0,57.0,402.0,4.0,4.03,4,4
32.0,0.23,very good,f,vs1,59.8,57.0,402.0,4.04,4.06,4,4
33.0,0.23,very good,e,vs1,60.7,59.0,402.0,3.97,4.01,4,4
34.0,0.23,very good,e,vs1,59.5,58.0,402.0,4.01,4.06,4,4
35.0,0.23,very good,d,vs1,61.9,58.0,402.0,3.92,3.96,4,4
