Country,ISO 3166-1 alpha-3,Total,Coal,Oil,Cement,Flaring,Other,Per Capita,Country_num,ISO 3166-1 alpha-3_num
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Kna,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,105
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Kna,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,105
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Haiti,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,88,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,73.68,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Haiti,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,88,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Haiti,Afg,73.68,127.39,153.48,62.6,56.07,849.4,121.57,88,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Haiti,Kna,0.0,127.39,153.48,62.6,56.07,849.4,121.57,88,105
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
Afghanistan,Afg,0.0,127.39,153.48,62.6,56.07,849.4,121.57,0,1
